2020-03-21,Apuane,Carrara,1,,,
2020-03-21,Apuane,Massa,2,,,
2020-03-21,Lunigiana,Aulla,1,,,
2020-03-21,Lunigiana,Bagnone,1,,,
2020-03-21,Lunigiana,Fosdinovo,1,,,
2020-03-21,Lunigiana,Mulazzo,1,,,
2020-03-21,Lunigiana,Pontremoli,3,,,
2020-03-21,Piana di Lucca,Capannori,1,,,
2020-03-21,Zona Pisana,Cascina,1,,,
2020-03-21,Zona Pisana,Pisa,2,,,
2020-03-21,Alta Val di Cecina Val d'Era,Peccioli,1,,,
2020-03-21,Alta Val di Cecina Val d'Era,Ponsacco,1,,,
2020-03-21,Versilia,Viareggio,1,,,
2020-03-21,Toscana,Toscana,0,2,,,
